file,tag_paths,expected_status,suggested_summary,keywords
技术资料总览.md,技术,已整理,技术资料总览，覆盖大模型、RAG、向量数据库和后端接口的入口说明。,技术总览;系统架构;RAG
RAG 系统设计方案.pdf,技术/大模型/RAG;项目/File Manager,已整理,基于 RAG 的本地知识库方案，包括文档切分、embedding、向量检索、重排序和回答生成。,RAG;向量检索;本地知识库;rerank
向量数据库选型对比.md,技术/数据库/向量数据库,已整理,对比 Chroma、Qdrant、Milvus 的部署复杂度、过滤能力和向量检索性能。,Qdrant;Chroma;Milvus
Embedding 模型评测.xlsx,技术/大模型/Embedding,已整理,Embedding 模型召回率、延迟和维度对比表。,Embedding;recall;latency
大模型应用架构图.png,技术/大模型,已整理,大模型应用架构图，展示前端、后端、检索和模型调用关系。,大模型;架构图
本地知识库开发记录.md,技术/大模型/RAG;项目/File Manager/后端,已整理,本地知识库开发记录，覆盖导入、摘要、tag、embedding、向量数据库和检索。,本地知识库;embedding;后端
File Manager 产品需求.md,项目/File Manager/需求,已整理,File Manager 的产品需求，覆盖 Inbox、摘要、Tag、聚合视图和快速检索。,产品需求;Inbox;聚合模式
第一阶段开发计划.md,项目/File Manager/需求,已整理,第一阶段开发计划，目标是跑通 React、Tauri、SQLite 基础底盘。,第一阶段;Tauri;SQLite
后端接口设计.md,项目/File Manager/后端,已整理,后端接口设计，重点是 get_tag_page_data、structure、aggregation、matchedTags。,后端接口;matchedTags;get_tag_page_data
前端页面草图.png,项目/File Manager/前端,已整理,前端页面草图，用于验证图片导入和前端资料分类。,前端;草图
Bug 记录.md,项目/File Manager/后端,已整理,Bug 记录，覆盖搜索空关键词、删除非空 Tag、聚合去重和计数刷新。,Bug;去重;计数
2026-04 发票.pdf,财务/发票,已整理,2026 年 4 月发票，用于验证财务文件检索。,发票;报销
云服务账单.pdf,财务/账单,已整理,云服务账单，包含 GPU server、对象存储和向量数据库费用。,云服务;GPU server;账单
采购合同.pdf,行政/合同;财务/账单,已整理,采购合同，涉及 GPU server 和本地存储。,采购合同;GPU server
报销说明.docx,行政/报销,已整理,报销说明，包含发票、账单、合同和付款记录。,报销;行政
读书笔记 - 信息架构.md,,Inbox,信息架构读书笔记，暂不加 Tag，保留在 Inbox。,信息架构;分类;导航
AI 工具使用心得.md,,Inbox,AI 工具使用心得，暂不加 Tag，保留在 Inbox。,AI 工具;摘要;自动 tag
会议纪要 - tag 设计讨论.md,,Inbox,Tag 设计会议纪要，后续用于补充需求。,Tag 设计;结构模式;聚合模式
无明显主题的截图.png,,Inbox,疑似产品讨论截图，需要后续确认。,截图;待确认
